id,policy_type,question_type,question,answer,context,condition,q_rating,a_rating
22429,Regulatory Policy,Yes/No,"If our nonprofit organization in California cannot install onsite solar, can we still procure renewable electricity through the Enhanced Community Renewables Program?",Yes,"# Introduction/Background  

Senate Bill(SB) 43 (Wolk 2014) enacted the Green Tariff Shared Renewables (GTSR) Program. The GTSR Program is intended to (1) expand access ""to alleligible renewable energy resources to allratepayers who are currently unable to access the benefits of onsite generation,"" and (2) ""create a mechanism whereby institutional customers...commercial customers and groups of individuals... can meet their needs with electrical generation from eligible renewable energy resources.""  ",,9,10
22429,Regulatory Policy,Yes/No,"If we’re not enrolled in the Green Tariff Shared Renewables (GTSR) Program, will we be required to pay for any of its costs?",No,"By statue, the costs of GTSR may not be borne by customers who did not elect GTSR service.  ",,9,10
22429,Regulatory Policy,Yes/No cond,Can our industrial facility participate in the Enhanced Community Renewables Program through a shared solar project?,Yes,"The GTSR program has two components: the Green Tariff (GT) component and the Enhanced Community Renewables (ECR) component. Through GT, a customer may pay the difference between their current generation charge and the cost of procuring 50 to 100 percent renewables. With ECR, a customer agrees to purchase a share of a community renewable (typically solar) project directly from a developer, and in exchange will receive a credit from their utility for the customer's avoided generation procurement. Neither of these program sub-components are dedicated a certain amount of the overall600Mwcap. ","[""You must be a customer of PG&E, SCE, or SDG&E"", ""You must enter a power purchase agreement with a participating renewable developer"", ""Your subscription will be credited through your utility bill""]",8,9
22429,Regulatory Policy,Yes/No cond,Can SDG&E suspend our organization’s participation in the Enhanced Community Renewables Program if it suspends its Green Tariff Program?,No,"In 2022, the Commission authorized SDG&E's request to suspend its Ecochoice, Green Tariff program, but rejected requests to also suspend its Enhanced Community Renewables (ECR) program, and the Disadvantaged Communities Green Tariff (DAC-GT) and Community Solar Green Tariff (CSGT) Programs. New programs consistent with the new criteria described in AB 2316 (Ward, 2022) are being considered in a consolidated Community Solar proceeding.  ","[""The Commission must approve suspension requests"", ""In 2022, CPUC rejected SDG&E’s request to suspend its ECR program""]",8,9
22429,Regulatory Policy,Factual,"As a local government agency planning to offset operations with solar, what portion of the statewide 600 MW Green Tariff Shared Renewables capacity has been allocated to Enhanced Community Renewables as of January 2024?",38 MW,"As of January 2024, 191 MW of new renewable capacity has been built or contracted on behalf of the GTSR program. For utility-specific reporting, please see the latest annual reports, below.  

# Cumulative Procured GTSR Capacity (MW)  

<html><body><table><tr><td>Category</td><td>AvailableCapacity</td><td>GTProcured</td><td>ECRProcured</td><td>Ren</td></tr><tr><td>Unrestricted</td><td>480</td><td>151</td><td>38</td><td>291</td></tr><tr><td>ReservedforEnvironmentalJustice</td><td>100</td><td>2</td><td>0</td><td>98</td></tr><tr><td>Totals</td><td>600</td><td>153</td><td>38</td><td>407</td></tr></table></body></html>  ",,9,10
22429,Regulatory Policy,Factual,"Under California’s Green Tariff Shared Renewables program, what is the total capacity reserved for Environmental Justice communities?",100 MW,"# Cumulative Procured GTSR Capacity (MW)  

<html><body><table><tr><td>Category</td><td>AvailableCapacity</td><td>GTProcured</td><td>ECRProcured</td><td>Ren</td></tr><tr><td>Unrestricted</td><td>480</td><td>151</td><td>38</td><td>291</td></tr><tr><td>ReservedforEnvironmentalJustice</td><td>100</td><td>2</td><td>0</td><td>98</td></tr><tr><td>Totals</td><td>600</td><td>153</td><td>38</td><td>407</td></tr></table></body></html>  ",,9,10
22429,Regulatory Policy,Legal Obligation,What legal responsibility does our local government agency have when claiming greenhouse gas (GHG) reductions through the Enhanced Community Renewables Program?,You must follow CPUC-issued guidance on reporting GHG claims and adhere to established verification procedures.,"In May 2016, the CPUC adopted D.16-05-006 that addressed Phase IV, participation of ECR projects in the Renewable Auction Mechanism. In addition, the decision provided guidance on a number of outstanding issues including the reporting of GHG claims, the securities opinion requirement, and forecasting of rate elements, including bill charges and credits.  ",,8,9
22429,Regulatory Policy,Legal Obligation,What must our commercial enterprise consider about avoided cost credit when subscribing to an Enhanced Community Renewables project?,"You must understand that you receive a utility bill credit based on avoided generation procurement, not full retail rate replacement.","The GTSR program has two components: the Green Tariff (GT) component and the Enhanced Community Renewables (ECR) component. Through GT, a customer may pay the difference between their current generation charge and the cost of procuring 50 to 100 percent renewables. With ECR, a customer agrees to purchase a share of a community renewable (typically solar) project directly from a developer, and in exchange will receive a credit from their utility for the customer's avoided generation procurement. Neither of these program sub-components are dedicated a certain amount of the overall600Mwcap. ",,7,8
22429,Regulatory Policy,Descriptive,How can a nonprofit organization benefit from participating in the Enhanced Community Renewables Program if it lacks roof space for solar?,It can subscribe to a community renewable project and receive utility bill credits without needing to install any onsite equipment.,"he GTSR Program is intended to (1) expand access ""to alleligible renewable energy resources to allratepayers who are currently unable to access the benefits of onsite generation,"" and (2) ""create a mechanism whereby institutional customers...commercial customers and groups of individuals... can meet their needs with electrical generation from eligible renewable energy resources.""",,9,9
22429,Regulatory Policy,Descriptive,What are some regulatory safeguards the CPUC has implemented to improve participation in the Enhanced Community Renewables Program?,"Safeguards include improved securities requirements, utility reporting, transparent billing structures, and program extensions to ensure accessibility and reliability.","In July 2017, the CPUC adopted D.17-07-007, which grants the joint Petition for Modification of D.15-01-051, which replaces the AmLaw 100 Securities Option Requirement with a three-part standard which requires that securities opinions come from a lawyer or firm with 1) eight years of experience in securities law, 2) be currently licensed by the California Bar, and 3) carry a minimum of $\$10$ million in professional liability coverage. These requirements were based on an all-party workshop hosted by the CPUC on October 13, 2016.",,8,9
