id,policy_type,question_type,question,answer,context,condition,q_rating,a_rating
22260,Regulatory Policy,Yes/No,I run a city transit service and I'm replacing buses built in 2005. Are 2005 model year transit buses eligible for replacement under the VW Mitigation Program?,Yes,The grant program funds the replacement and scrapping of 1992-2009 engine model year class 4-8 public transit buses with new replacement diesel or alternate fueled buses.,,8,10
22260,Regulatory Policy,Yes/No,I want to apply for EV charging station grants in Wisconsin. Can I currently apply for Electric Vehicle Charging Station grants according to the VW Mitigation Program?,No,"However, the language authorizing the EVCS Grant Program (""Program"") was removed from statute due to a Wisconsin Supreme Court opinion issued on July 10, 2020. Program activities have been suspended.",,10,10
22260,Regulatory Policy,Yes/No cond,I operate a bus route connecting employees with a major industrial park. Will my transit project be prioritized for Volkswagen Trust funding under VW Mitigation Program?,Yes,The program gives preference to communities or routes that DOA determines are critical for connecting employees with employers.,"[""The Department of Administration determines the route is critical for connecting employees with employers.""]",9,9
22260,Regulatory Policy,Yes/No cond,I want to use Volkswagen settlement funds to purchase a new diesel truck for my private logistics company. Can I receive Volkswagen settlement funding for purchasing a new truck according to VW Mitigation Program?,Yes,"In summary, Wisconsin could utilize Trust funding to scrap, and then repower or replace certain eligible vehicles and equipment, including:  

Class 8 Local Freight Trucks and Port Drayage Trucks (Eligible Large Trucks)   
Class 4-8 School Bus, Shuttle Bus, or Transit Bus (Eligible Buses)   
Railroad Freight Switchers   
Ferries/Tugs   
Ocean Going Vessels (OGV) Shorepower   
Class 4-7 Local Freight Trucks (Eligible Medium Trucks)   
Airport Ground Support Equipment   
Forklifts and Port Cargo Handling Equipment   
Light Duty Zero Emission Vehicle Supply Equipment   
Diesel Emission Reduction Act (DERA) Option  ","[""The truck replaces an eligible older vehicle (e.g., Class 8 Local Freight Truck)"", ""The vehicle scrapped is compliant with eligibility guidelines""]",9,9
22260,Regulatory Policy,Factual,I’m a business analyst evaluating environmental compliance risks in transportation projects. When was Wisconsin designated as a Trust Beneficiary according to VW Mitigation Program?,"January 29, 2018","The form was successfully submitted on November 20, 2017 and Wisconsin was designated a Trust Beneficiary on January 29, 2018.",,7,9
22260,Regulatory Policy,Factual,I own a fleet management company and want to understand the scale of VW’s financial liability. How much did Volkswagen agree to pay into the Environmental Mitigation Trust Fund according to VW Mitigation Program ?,$2.9 billion,Judicial settlements require Volkswagen to pay more than $2.9 billion into an Environmental Mitigation Trust Fund.,,8,9
22260,Regulatory Policy,Legal Obligation,I run a transportation firm and plan to partner with public agencies for VW Trust-funded projects. Must candidate submit a semiannual report for each Eligible Mitigation Action under VW Mitigation Program?,"Yes, as required by the State Trust Agreement.","The State Trust Agreement requires that Beneficiaries submit a semiannual report to the Trustee for each Eligible Mitigation Action describing the process of implementing that Eligible Mitigation Action during the six months prior to the reporting date, including a summary of all costs expended on the Eligible Mitigation Action through the reporting date. Beneficiaries must submit the first report no later than six months after receiving its first disbursement of Trust funds.",,8,10
22260,Regulatory Policy,Legal Obligation,I’m a business owner preparing to bid on a public transit replacement project funded by VW Trust. How many days in advance must cadidate submit its Beneficiary Mitigation Plan before requesting funding according to VW Mitigation Program?,At least 30 days,Wisconsin must provide its Plan to the Trustee at least 30 days prior to submitting its first funding request.,,9,9
22260,Regulatory Policy,Descriptive,I’m a business investor analyzing funding opportunities related to emissions mitigation. What types of vehicles and equipment can be replaced using Wisconsin’s Volkswagen Trust funds according to VW Mitigation Program?,"Eligible vehicles and equipment include Class 4-8 public transit buses, Class 8 freight trucks, port drayage trucks, school buses, ferries, tugs, airport ground support equipment, forklifts, and EV supply equipment.","The consent decree establishes eligible mitigation actions and mitigation action expenditures that Beneficiaries may make from the Trust. In summary, Wisconsin could utilize Trust funding to scrap, and then repower or replace certain eligible vehicles and equipment, including:  

Class 8 Local Freight Trucks and Port Drayage Trucks (Eligible Large Trucks)   
Class 4-8 School Bus, Shuttle Bus, or Transit Bus (Eligible Buses)   
Railroad Freight Switchers   
Ferries/Tugs   
Ocean Going Vessels (OGV) Shorepower   
Class 4-7 Local Freight Trucks (Eligible Medium Trucks)   
Airport Ground Support Equipment   
Forklifts and Port Cargo Handling Equipment   
Light Duty Zero Emission Vehicle Supply Equipment   
Diesel Emission Reduction Act (DERA) Option  ",,8,9
22260,Regulatory Policy,Descriptive,I’m preparing a funding proposal as a transportation entrepreneur in Wisconsin. What are the reporting requirements for projects funded by the VW Trust in Wisconsin according to VM Mitigation Program?,"Beneficiaries must submit semiannual reports describing implementation status, costs, and any modifications of each approved mitigation action, which are made publicly available.","These reports must include a complete description of the status (including actual or projected termination date), development, implementation and any modification of each approved Eligible Mitigation Action.",,9,9
